name,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PF3D7_0937600,-266.0250956242624,-259.84917100226755,-264.36286844587204,-271.0512748323772,-287.95057957145144,-284.8393876627296,-268.5306472061324,-284.824334652618,-263.5356719166151,-265.3918546283659,-267.63457024233463,-287.93797723825463,-264.6345036600684,-269.0852113431555,-264.0109045670197,-288.8177261415279,-282.28188491380934,-288.0369921775748,-265.8604127197967,-268.9805138148914,-271.845234377584,-259.84917100226755,-261.0907272013732,-265.51551084569587,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755,-259.84917100226755
PF3D7_1100200,-273.63316398655695,-267.54614985320416,-267.61369040194256,-269.13335358508436,-285.4215294625953,-288.18116103959557,-265.1810087515315,-277.9848140244571,-288.3734031037981,-273.6858766165129,-265.3747795484606,-298.4701315353868,-276.47287587074663,-273.2290762466618,-262.6794376251722,-296.1749103085043,-298.3013976767721,-289.8592845330234,-266.30072215521744,-269.39173745541484,-292.09878349798225,-267.54614985320416,-277.0872173125667,-257.4490100503616,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416,-267.54614985320416
PF3D7_0400400,-255.58440705933714,-242.1573328531631,-258.87831076454125,-251.42322760946047,-279.39413785607394,-278.4859473549076,-256.00504629674896,-277.2959149364418,-259.9132165954787,-240.53965442550904,-254.56027701187057,-271.18094784566614,-264.6870319340946,-251.25498835466837,-258.86905042560494,-268.6646298132238,-269.800694548923,-262.5666140488583,-245.41179536100077,-260.53878585462667,-259.96850105186775,-242.1573328531631,-244.55537833838434,-245.63769478643627,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631,-242.1573328531631
PF3D7_0425800,-258.939211488763,-247.88150160619546,-261.7806809337221,-258.1811305541142,-291.5561888699818,-283.70235560786926,-259.24456557653593,-285.8643157538177,-265.54748440322595,-249.4733508757268,-260.4158171379032,-287.38636139958146,-269.65201387936236,-256.70815810609423,-255.50974739868116,-275.76365432482413,-281.1127992243291,-270.56869398062315,-248.36095149855421,-265.7982267019309,-270.5721920916721,-247.88150160619546,-246.71896076699215,-237.79547894848335,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546,-247.88150160619546
PF3D7_0100300,-266.3760345026934,-255.79674938071187,-271.1930067031385,-266.6103469324635,-293.98969867372756,-288.61991125176337,-269.4229111842036,-279.125852396948,-269.04254415229286,-258.10807489264,-261.16485610466276,-290.3625386443254,-276.77647369478615,-267.7205055596992,-260.7374011953414,-284.7181490458548,-285.33735327760934,-283.1641457176314,-264.5486025103509,-269.3588567371519,-279.63137948763074,-255.79674938071187,-252.70405917548345,-262.75140238058793,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187,-255.79674938071187
PF3D7_0800200,-257.7507625944622,-240.20752414055548,-265.539430037978,-256.5931478740888,-285.03094637360107,-282.192417572108,-257.8637577407207,-280.0297971890952,-266.5638963760055,-239.95544107864947,-259.09606321283377,-256.9567437485599,-260.5497245017542,-246.9691866442977,-259.56354496151465,-234.11764165668322,-251.9991378049289,-218.81821337644493,-249.95233198974256,-265.46792414739434,-268.22750723130747,-240.20752414055548,-251.97971369364336,-248.05221673101317,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548,-240.20752414055548
PF3D7_1150400,-257.9415276652972,-241.3632934998941,-257.3369053443615,-254.04140941457376,-286.86081812707044,-283.8634948418428,-253.75340680995797,-275.74219908567284,-254.30459675586027,-234.20599537314726,-256.4793799742161,-280.72570673204234,-262.3661797914322,-245.5570947475379,-258.21480888981495,-266.3733316535058,-279.8501955268115,-263.5586495362393,-240.04085460520818,-259.8789895532328,-251.11213215412488,-241.3632934998941,-240.95703035168694,-237.3549240857531,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941,-241.3632934998941
PF3D7_0600400,-260.40757570196087,-252.22747916890805,-262.7977567625456,-263.4187035307192,-281.23417665056166,-282.36359423305026,-264.3841605095143,-271.8411340040088,-261.33317891463344,-260.1208183723034,-260.77134192397557,-282.68926405970006,-266.02267812226063,-262.69915702141043,-258.8152690493061,-281.75496184593885,-278.4304503705168,-278.06267566195294,-263.12038995031145,-263.1666232187518,-272.54701771765826,-252.22747916890805,-252.77448052034396,-259.91903698179664,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805,-252.22747916890805
PF3D7_1300300,-247.3899833947283,-236.36599889455783,-250.43686192067923,-250.52616352979524,-268.92367043148283,-262.2312782349952,-247.83863435598192,-262.18907124549105,-247.91644717249707,-237.7445837666828,-249.28031630585562,-258.2497756602266,-251.90685669012993,-250.6824838890149,-244.1386646891862,-263.39722808710525,-260.34638507984243,-252.66500437526412,-243.4443954167096,-248.56460631091198,-251.81723429145856,-236.36599889455783,-241.09043753836926,-239.08510075925054,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783,-236.36599889455783
Pf7G8_050038200,-254.14956518349345,-243.4457735654247,-254.7488383071577,-258.97982275563635,-277.51603516062727,-270.59862891395824,-251.34144973246802,-276.3755325807924,-256.6248473033649,-247.6695858722159,-253.1540923914859,-281.52501655359663,-260.1051773238492,-262.55724474945384,-240.82076060343235,-278.9855977431786,-275.54678347582205,-267.31205580973625,-251.92584923145753,-254.23099786325875,-268.2959810577267,-243.4457735654247,-246.5412800990971,-232.36412976072654,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247,-243.4457735654247
Pf7G8_030005900,-263.60109397218133,-249.2366961380098,-263.99791195405203,-256.07344549224314,-287.1232686588693,-278.8030304826548,-259.8693181636467,-280.7460490783091,-261.3453134418857,-256.13740090583997,-262.3470575894843,-284.741350261367,-267.19043846355834,-255.29890274932967,-263.29156061727474,-281.2663395317606,-277.4640964038829,-264.75271841978986,-252.0768608133587,-261.7665968485846,-263.40751337810156,-249.2366961380098,-253.48991262131761,-249.78555930979994,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098,-249.2366961380098
Pf7G8_020026900,-258.5984804254264,-246.4745081070346,-262.5412985518133,-257.28889421254127,-287.9602371570579,-277.8876083156711,-258.5520904832104,-277.8054185905787,-258.5560245383586,-248.6218396496092,-264.4816806039073,-278.1739141620542,-259.5363557741893,-256.7148368662411,-261.00158470225006,-273.409418463942,-272.7276054989364,-264.2696306193231,-251.17616884269793,-261.30411084358485,-262.42812151000294,-246.4745081070346,-248.14755722377785,-247.798232705797,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346,-246.4745081070346
Pf7G8_010005600,-249.2504807964978,-227.68293979225973,-254.2837826129104,-252.54872452540928,-275.67945458772397,-274.97013019809066,-250.53344800617913,-268.6476878107673,-262.6157060551338,-229.01065994929053,-252.08068173204055,-245.56162150719265,-249.1350363660353,-242.4566049706369,-255.60365163929012,-219.4321491704907,-236.08100710688427,-202.41593134912623,-235.2469194239899,-257.41615883615157,-260.9177083269922,-227.68293979225973,-246.64483987915224,-239.91576973563403,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973,-227.68293979225973
