name,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PF3D7_0937600,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-297.71970758875733,-241.96534245617894,-241.96534245617894,-241.96534245617894,-241.96534245617894,-280.7500563324951,-241.96534245617894,-225.3858627410221,-239.8544388824146,-187.1410873208634,-279.18581189344843,-261.9652952401957,-256.2252669953287,-264.14705280577135,-235.56111844140852,-286.9306781491082
PF3D7_1100200,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-274.35581329988986,-259.08422140131614,-259.08422140131614,-259.08422140131614,-259.08422140131614,-284.8928995233511,-259.08422140131614,-279.3522869720904,-269.1701850009193,-303.6024412069464,-264.3543079247779,-225.40377280973857,-267.3089245599177,-260.6446217192424,-276.5890309323413,-249.97880297075326
PF3D7_0400400,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-262.3976877728266,-211.05065060589342,-211.05065060589342,-211.05065060589342,-211.05065060589342,-251.05497983200166,-211.05065060589342,-196.59314624588063,-193.43388721891597,-238.29585376151914,-241.30288107696003,-229.92075796852276,-216.84550481488913,-224.03534851886997,-194.61422416237272,-276.7939325555956
PF3D7_0425800,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-271.70395249399076,-230.84806330247469,-230.84806330247469,-230.84806330247469,-230.84806330247469,-242.846142132852,-230.84806330247469,-233.23278960779535,-239.39265132894985,-270.1755694873976,-244.2470079726738,-218.65554931830343,-230.76250189722535,-234.3338271268844,-235.98741332716256,-263.7311131667638
PF3D7_0100300,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-296.1977662358465,-236.99059091054494,-236.99059091054494,-236.99059091054494,-236.99059091054494,-274.1392694193967,-236.99059091054494,-238.621396069065,-240.7804100519545,-176.7405413749119,-272.7505028849597,-255.3663544863842,-253.6338700311978,-259.01374154313413,-236.00015740079013,-287.06325856970244
PF3D7_0800200,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-239.6137355550131,-220.55709834550146,-220.55709834550146,-220.55709834550146,-220.55709834550146,-257.60019665083496,-220.55709834550146,-239.38320384417628,-243.5429087763214,-269.0233253411271,-202.43079002636458,-233.09814077837765,-192.78173717891843,-216.4728770578236,-233.0250743427218,-262.4131618300574
PF3D7_1150400,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-270.4313183995217,-224.18356208137553,-224.18356208137553,-224.18356208137553,-224.18356208137553,-246.74823108086628,-224.18356208137553,-230.86250329369005,-231.74389138954675,-264.2973391235527,-232.6339137320431,-223.59782294805285,-229.6422741503285,-209.58419839718678,-235.975043633101,-278.26890644667407
PF3D7_0600400,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-291.6204108302936,-236.64171731162975,-236.64171731162975,-236.64171731162975,-236.64171731162975,-272.19812572674493,-236.64171731162975,-243.82361806532458,-241.82825354546426,-174.74228929772582,-269.8558898046624,-254.13767286568145,-251.8057217986564,-256.76267450764783,-233.72936376956224,-284.2008242024291
PF3D7_1300300,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-266.7499515812234,-213.95952825617965,-213.95952825617965,-213.95952825617965,-213.95952825617965,-247.99766307592688,-213.95952825617965,-218.57974946676092,-201.06412267391403,-232.2057717013421,-244.9006052513988,-234.52219305963672,-219.04557368752225,-232.13933757717845,-194.1889436194799,-271.9321303492165
Pf7G8_050038200,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-259.46275219388366,-226.94746239491755,-226.94746239491755,-226.94746239491755,-226.94746239491755,-248.4561346931642,-226.94746239491755,-246.28932002574533,-233.47698215544617,-264.13312009546627,-248.5112927070291,-209.98540453774265,-237.5349530763488,-227.74395558350238,-239.4417368401075,-268.6202850707965
