"","A","B","C"
"seq1",1.00864402232346e-26,0.400059835560427,0.599940164439573
"seq2",4.24945851527391e-16,0.990435373297442,0.00956462670255781
"seq3",1.33606656952238e-18,0.999999999999997,3.32645898897e-15
"seq4",1.42277160733477e-15,0.999354218585655,0.000645781414343373
"seq5",3.75113555182526e-25,0.441591442301486,0.558408557698514
"seq6",1.34020144254102e-15,0.985848952981529,0.0141510470184695
"seq7",1.64509713290995e-13,0.999987424449348,1.25755504872895e-05
"seq8",1.57764220877225e-13,0.984564152579293,0.0154358474205491
"seq9",6.46444886771951e-13,0.999927828015062,7.21719842911689e-05
"seq10",2.18781856025522e-22,0.998999271588376,0.00100072841162437
"seq11",1.97664617340688e-16,0.00303713354928821,0.996962866450712
"seq12",2.69236417169783e-14,0.999999991516844,8.48312870778789e-09
"seq13",1.32612498833144e-14,0.707983246260773,0.292016753739213
"seq14",1.42903883466066e-22,8.37068322425102e-06,0.999991629316776
"seq15",2.06645599091697e-13,0.999785708547935,0.000214291451858758
"seq16",6.42438269226712e-21,0.999832057968857,0.000167942031143274
"seq17",2.25605717235398e-20,0.979490100904566,0.020509899095434
"seq18",4.1960537157333e-21,0.833916653657028,0.166083346342972
"seq19",8.69788252378072e-15,0.999999799286725,2.0071326661179e-07
"seq20",6.73363765088482e-16,0.999999986275764,1.37242355835587e-08
"seq21",2.88030598433129e-20,0.0673505386728698,0.93264946132713
"seq22",4.27060884692057e-20,0.272993212269767,0.727006787730233
"seq23",6.54982298866765e-11,0.999960089269739,3.9910664762585e-05
"seq24",2.35920585202884e-16,0.999999240671242,7.59328757654123e-07
"seq25",2.40548348032303e-10,0.999999938528463,6.12309881647353e-08
"seq26",9.92445116443972e-13,0.999999993737783,6.26122490353354e-09
"seq27",1.11610070989511e-14,0.999994071000846,5.92899914290504e-06
"seq28",0.995231410940176,0.00476858905428665,5.53776223463269e-12
"seq29",0.999999999999542,4.58286786096029e-13,9.74162176666538e-17
"seq30",6.35788505288606e-14,0.793406899950192,0.206593100049744
"seq31",3.55489092483057e-12,0.000552227608340342,0.999447772388105
"seq32",4.09421246491088e-15,0.794588257680507,0.205411742319489
"seq33",5.64350213438562e-24,0.00868661874852009,0.99131338125148
"seq34",1.46037557711509e-09,0.987288558122574,0.0127114404170502
"seq35",1.56529314823888e-24,0.999999891184006,1.08815993870005e-07
"seq36",6.67538614644806e-25,0.813463497702667,0.186536502297333
"seq37",1.41618609704657e-17,0.999999999841666,1.5833391250187e-10
"seq38",3.98719080850475e-19,0.974059326995093,0.0259406730049073
"seq39",1.95367255543519e-12,0.999999847308518,1.52689528030179e-07
"seq40",7.97876280830256e-13,0.999939708952336,6.02910468662673e-05
"seq41",1.12595379475176e-14,0.999887775130201,0.000112224869787979
"seq42",2.18202939504583e-19,0.0544780217501678,0.945521978249832
"seq43",2.4743487979892e-24,0.0425320056735882,0.957467994326412
"seq44",2.86705952795504e-21,0.999915476229047,8.45237709529618e-05
"seq45",4.07709058912286e-20,0.968400395581814,0.0315996044181859
"seq46",6.77925587558056e-16,0.999763861500969,0.000236138499030467
"seq47",1.06080696431026e-24,4.94130159871889e-05,0.999950586984013
"seq48",1.13313087445949e-13,0.999999821615851,1.78384035749715e-07
"seq49",5.20102154122859e-26,0.999387775321117,0.000612224678882959
"seq50",1.85929118208506e-17,0.983049946151113,0.0169500538488868
"seq51",8.19769026987791e-06,0.999991407788303,3.94521427206847e-07
"seq52",0.999999999830182,1.59999771953387e-10,9.81790433703206e-12
"seq53",3.82078514320651e-18,0.999399748831535,0.000600251168464793
"seq54",1.37032303645719e-27,0.999874456227158,0.000125543772841794
"seq55",7.64489866506372e-13,0.999994012332868,5.98766636725276e-06
"seq56",8.61377038180087e-18,0.999999840676373,1.5932362727134e-07
"seq57",1.85887296137886e-21,0.00173607559438847,0.998263924405612
"seq58",1,8.05408237455014e-22,2.68337600219787e-24
"seq59",2.37613297975435e-13,0.999767848356419,0.000232151643343491
"seq60",3.02981317522645e-22,0.719745803620506,0.280254196379494
"seq61",2.83070077552905e-17,0.996723075957324,0.00327692404267652
"seq62",3.46450080762631e-14,0.997917139161254,0.00208286083871109
"seq63",3.37802362649169e-16,0.999998150096236,1.84990376351628e-06
"seq64",4.66847925321922e-19,0.922898618363508,0.0771013816364923
"seq65",7.27176177573981e-14,0.931224560687858,0.0687754393120694
"seq66",2.016555987302e-17,0.999999240563812,7.59436188361897e-07
"seq67",2.56429058159478e-26,0.750542361562191,0.249457638437809
"seq68",1.77080656649447e-05,0.999981997033404,2.94900930787889e-07
"seq69",9.97896724648763e-14,1.32907923593367e-05,0.999986709207541
"seq70",6.69601225116838e-27,0.00224870209587482,0.997751297904125
"seq71",1.56204175878492e-15,0.999982385386282,1.76146137165407e-05
"seq72",1.35174292269183e-11,0.978453493406418,0.0215465065800648
"seq73",1,1.54906453668758e-18,6.36386096413793e-22
"seq74",2.95083208845738e-06,0.999996586773533,4.62394378035087e-07
"seq75",1.89087711803557e-11,0.979363864458514,0.0206361355225768
"seq76",1.53656857046949e-16,0.999999926613248,7.33867515552592e-08
"seq77",7.79353713148385e-10,0.256466316963649,0.743533682256997
"seq78",4.55833168593913e-23,0.975159880388208,0.0248401196117917
"seq79",1.17102443091592e-11,0.99999999998829,2.57775443522714e-18
"seq80",2.51656495196089e-14,0.999988131672407,1.1868327567908e-05
"seq81",9.79944956143091e-25,0.969559705776871,0.0304402942231291
"seq82",6.0751420268741e-20,0.997635230473313,0.00236476952668656
"seq83",4.16152234679415e-15,0.997757645740277,0.00224235425971856
"seq84",1.16835313376555e-13,0.999999999397803,6.02079862953017e-10
"seq85",1.78642098687938e-21,0.993399030008717,0.00660096999128344
"seq86",1.22431518173662e-15,0.999998465283416,1.5347165831512e-06
"seq87",1.3968634892697e-19,0.999850196689003,0.000149803310996862
"seq88",4.69145876170979e-15,0.89945769956401,0.100542300435986
"seq89",2.27754448799425e-16,0.999999947421539,5.25784609247676e-08
"seq90",1.4738122472146e-18,0.992233402667138,0.00776659733286187
"seq91",1.11908777245374e-14,0.999998581169433,1.41883055606482e-06
"seq92",5.84944843922741e-21,0.99872677377314,0.00127322622685965
"seq93",3.25273999729634e-25,0.0337764305488218,0.966223569451178
"seq94",9.75125782727023e-31,1.58448837738563e-05,0.999984155116226
"seq95",1.27125702463593e-18,0.999986704761858,1.3295238141772e-05
"seq96",3.78993085025926e-18,0.999291230276976,0.000708769723024437
"seq97",6.46591256192568e-18,0.948125293252341,0.0518747067476586
"seq98",1.39408969884921e-20,0.943150798591916,0.0568492014080844
"seq99",2.21623648626733e-14,0.995926916417426,0.00407308358255128
"seq100",2.97679379665145e-25,1.22282543738552e-10,0.999999999877717
"seq101",0.980863388079975,0.0191366119200252,4.77525494563588e-18
"seq102",9.60839504178879e-13,0.971134758712701,0.028865241286338
"seq103",1.96359215385702e-28,0.769598645468907,0.230401354531093
"seq104",4.73852924471565e-23,0.998648109046541,0.00135189095345883
"seq105",4.84811119347492e-16,0.999685566194907,0.000314433805092822
"seq106",1.70082604670802e-17,0.0112840842613342,0.988715915738666
"seq107",1.20161775680081e-19,0.0229001934510154,0.977099806548985
"seq108",1.14637217204151e-22,0.999667473064142,0.000332526935857888
"seq109",7.78579515855676e-23,0.000495285652895772,0.999504714347104
"seq110",6.63443440732623e-21,0.21228534320518,0.78771465679482
"seq111",1.15050186369535e-13,0.999939199826256,6.08001736294043e-05
"seq112",1,5.11115264340073e-17,1.24417040687666e-21
"seq113",3.82517441174084e-13,0.996508202283866,0.00349179771575128
"seq114",6.75429549093831e-17,0.992543158895994,0.00745684110400629
"seq115",1.22401439320008e-14,0.998490925160875,0.00150907483911309
"seq116",4.92685126570984e-18,0.74814756408671,0.25185243591329
"seq117",1.9288347085689e-16,0.999765015751931,0.000234984248069227
"seq118",1,1.64213311834633e-16,7.7528655713602e-21
"seq119",3.52243316186432e-11,0.999979074923809,2.09250409665188e-05
"seq120",1.80415939671118e-10,0.999999986779966,1.30396183140276e-08
"seq121",5.96966891680144e-19,0.99999877681865,1.22318135024245e-06
"seq122",6.16858869558399e-12,0.999999888385101,1.11608730367412e-07
"seq123",2.16497781150225e-16,0.999999762905713,2.37094286658604e-07
"seq124",2.59234358825414e-16,0.998963374555311,0.00103662544468914
"seq125",3.0089646999326e-19,0.998280521319789,0.00171947868021138
"seq126",4.63964066785756e-24,0.625286993920502,0.374713006079498
"seq127",3.3553278557398e-21,0.166287121142927,0.833712878857073
"seq128",2.66855090364671e-15,0.00348931050088661,0.996510689499111
"seq129",1.8498859790341e-18,0.996766722585489,0.00323327741451095
"seq130",5.16206023631672e-13,0.396840920438678,0.603159079560806
"seq131",2.59132200045747e-11,0.999976534710729,2.34652633581071e-05
"seq132",2.87838392511419e-20,0.120623809789924,0.879376190210076
"seq133",5.09875427504055e-19,0.109593511824632,0.890406488175368
"seq134",6.70747388208922e-13,0.997185283732269,0.00281471626706064
"seq135",1.31899522761959e-16,0.130874223954842,0.869125776045158
"seq136",2.25080327791949e-11,0.0219658591098133,0.978034140867679
"seq137",1.58304643567675e-11,0.108810518698648,0.891189481285521
"seq138",2.2611184246113e-13,0.99932651450425,0.000673485495523885
"seq139",4.01570205069172e-25,0.190374354569016,0.809625645430985
"seq140",2.58418561828608e-18,0.994674314189881,0.0053256858101191
"seq141",2.42790842648669e-17,0.92918915662627,0.0708108433737304
"seq142",4.28664090994513e-20,0.999999984576218,1.54237817349373e-08
"seq143",3.40217307039565e-12,0.00123369705473339,0.998766302941865
