DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq7501,-257.960952119042,-249.234477637491,-260.5836052397465,-243.7380449807936,-257.18981583458765,-267.96865094686467,-252.4502530260528,-256.5913183752442,-252.8106757129547,-231.7187443819511,-268.8075875624183,-264.3733523853666,-245.27517646318555,-253.77971342897925,-263.85458567127637,-246.06036177563132,0,-214.16247841019577,-243.29791501103094,-251.01622010343854,-242.3390705234883,-238.34776358619018,-242.52805661268343,-244.99889282880818,0,-259.2611592254331,0,0,0,-193.94235166685235,0,0,-231.82526916694368
seq7502,-233.22960540793954,-239.25603003597766,-235.82362981784345,-240.60417652548583,-221.32976117360676,-251.30209037469518,-237.1784293663972,-235.24741524926253,-250.30264914837068,-246.70493905280074,-254.46964130037904,-251.96278462458787,-260.71119051736196,-255.57918083335778,-245.82958780536103,-276.2374373293219,0,-275.4775913227694,-247.29979455893758,-234.41981822828805,-239.83292675897792,-243.84593915337356,-252.20113898129503,-235.64898848903255,0,-294.86492382128415,0,0,0,-299.0954986661493,0,0,-245.23343972287608
seq7503,-244.14774507280686,-261.6565649361592,-249.85885982524277,-243.90844889822776,-257.76625763775036,-258.2436891231164,-238.73490032881088,-240.9329827072612,-249.84665012238528,-264.7439784793557,-276.4109467781532,-268.15759455422085,-291.7793858453959,-256.32206487503436,-271.076462480975,-301.28051085075913,0,-300.8705109308234,-261.9666848397699,-245.16819483180512,-251.47551340236055,-268.0481553439791,-270.7194944173597,-251.87690692644824,0,-312.93866663813515,0,0,0,-323.45575272290995,0,0,-262.5018368614798
seq7504,-245.85638070277912,-264.55055766054306,-250.9402536268629,-272.6452113059859,-246.9678085488685,-265.5076098854035,-252.08073787277078,-246.1922558494854,-268.1008319818939,-278.985097492227,-281.61420371871395,-249.39594318464205,-286.48873675310483,-280.89526430494783,-261.34278591447185,-304.32514630812847,0,-305.13266760967764,-283.44442356207884,-246.11339351707932,-254.06981882059026,-265.17436724862563,-277.387432416631,-266.15479290182054,0,-319.8808959324508,0,0,0,-327.8430933712946,0,0,-277.32731731765267
seq7505,-248.97253457262576,-254.33736301020906,-247.07150291990982,-221.80713445778753,-258.10657335496023,-254.82649992312616,-245.69560066068976,-254.33422734363776,-265.36798036975847,-234.47468999704554,-261.75940440793084,-279.1637794936823,-285.18476542129633,-240.14827020984828,-259.35271292180647,-285.79154919173885,0,-243.0196187000682,-221.40985755440747,-247.22397959137163,-237.26569125147844,-257.44007293230663,-254.36525639630477,-241.55989552135037,0,-279.70797351718625,0,0,0,-288.32557732387977,0,0,-233.78597290114755
seq7506,-240.26859924863646,-238.16186464138792,-237.19496574551243,-235.64033284280802,-238.39149068230526,-244.4822185330253,-237.8854288276585,-239.5938566926835,-248.62692517971817,-239.93884368358883,-269.0207689677506,-266.4175236174568,-283.3735103090719,-251.14230796391513,-247.37759519441852,-268.55767693994386,0,-282.54996360887895,-241.94475970748368,-237.37021102392498,-239.21100450845734,-240.27361206277192,-216.3970640781707,-231.0471669330454,0,-297.3467849102045,0,0,0,-309.85956683487433,0,0,-236.23859042908097
seq7507,-240.53438165941378,-258.21470747118275,-233.0818388320295,-248.65122137750774,-245.85624558663392,-249.55916750769265,-240.99254624897983,-232.69062507869717,-264.53687767295634,-260.9381593259756,-246.27810643215042,-264.89924640866604,-293.2871567777776,-271.5146033057543,-240.46350707004524,-296.5484547035867,0,-288.66919899322573,-257.36939345529737,-232.9852667284217,-252.83167459250623,-265.4631466638303,-260.39800907905374,-247.62449683052697,0,-302.1807430122706,0,0,0,-310.0975418928437,0,0,-249.40365794270102
seq7508,-249.95017562223006,-244.36132598961012,-246.5144341314399,-243.42769655176318,-254.8524245868725,-240.89556320730378,-240.3414938807627,-253.42746371566713,-260.9318012308849,-248.7828268063386,-279.3366056634404,-272.26060606663617,-285.7494300012886,-256.28829967488156,-265.988455474308,-279.5153343799154,0,-288.72344493978335,-246.77461145154416,-250.14661322973066,-249.9489977681229,-252.55401879329546,-252.5120571281299,-241.14580309470205,0,-309.2725247992613,0,0,0,-306.4916476061613,0,0,-248.47356110160044
seq7509,-249.4542089463403,-240.76658234505575,-243.90664262550703,-239.37609587911996,-248.76457967946126,-244.24872222252318,-241.72791672881692,-242.6386610731984,-254.41033337853764,-252.85495074953496,-273.9364684933033,-267.3053926109772,-287.8051030272859,-254.1688872689623,-266.74748351968714,-265.5040282415523,0,-287.9893470398351,-247.88184412665782,-246.54468275218704,-245.5023181412031,-246.64600917271085,-234.21554442003438,-234.48950600583706,0,-299.70191049354855,0,0,0,-312.6386601979633,0,0,-241.52242204203333
seq7510,-253.8869496658266,-268.27357003407684,-255.98138027490018,-273.3369209873289,-254.6894736283069,-264.7491020882919,-253.7836158895701,-249.21729463029533,-274.57925083619114,-290.4866984643382,-287.6384529884728,-281.10050608384273,-306.2197821795088,-293.33687572794906,-263.9538764182368,-318.45669862491417,0,-322.71481067844604,-287.0240342922823,-244.31982125066068,-273.2146230089517,-278.32109707990526,-283.56533270482896,-273.72259103888194,0,-330.42830200802496,0,0,0,-341.4289394964742,0,0,-277.8325412382494
