DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq17701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270.08036052446056,-260.9232814962483,-278.8469944798867,-273.1268306688059,-251.07101040681746,-262.92421913139833,-261.8444915168985,-271.6003132905837,0
seq17702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-326.58034477808644,-317.546978255341,-330.24893405127017,-319.766027318739,-308.25341033303107,-314.31424137950745,-319.6349477090427,-324.47998432795123,0
seq17703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-314.4906175823119,-307.05058388688235,-316.37108553080094,-311.0999868851461,-297.7101220720761,-301.89139220982076,-301.26272706964056,-308.299165190714,0
seq17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-277.8871379755752,-268.05220505502155,-278.859532295803,-271.62945425758016,-256.5340424628179,-264.2074015089834,-262.51252931306846,-271.6340170023176,0
seq17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-317.2028088094798,-313.6833206684781,-317.622280012829,-317.8627434514746,-307.04209752824715,-312.05922272294447,-313.0386946515957,-318.705430868275,0
seq17706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-283.6808523706702,-271.87453634170237,-284.1683205841836,-278.3867925601175,-274.17546894313733,-270.14147859557346,-271.20405027225314,-278.37056312000954,0
seq17707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-287.1347920831058,-284.14682109431595,-290.75958914592985,-292.75298949899593,-282.6848216150583,-276.80172265936443,-288.3252312784632,-288.3060810660647,0
seq17708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289.952872160668,-280.8075191082867,-303.1136474705192,-286.3494420091701,-276.5719514003364,-276.96053645492196,-284.78318303707,-286.7889147346378,0
seq17709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.42265494782464,-267.6769684796175,-278.131694804967,-271.97668845611565,-262.8975404420377,-267.0476714951823,-268.29600623985016,-272.5079849474621,0
seq17710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-338.3971559733949,-336.9119367074526,-338.46353642619374,-338.24760863063324,-324.6896959300729,-334.70534221716315,-336.44417833635185,-341.5187074061627,0
seq17711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-284.20650678565306,-278.2696212855548,-288.7358125160789,-281.2067585087391,-272.65390801037967,-279.48169700642296,-276.1746902671004,-289.85708233667935,0
seq17712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-296.1588705227859,-288.27342362276704,-302.62759683904846,-290.79197051199117,-280.49636666680595,-284.1567100831117,-292.22758409799997,-297.2026940604235,0
seq17713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-265.887007404819,-258.11891933959294,-268.41974257770084,-261.15820853664144,-254.4398980156934,-257.7467251825124,-240.51645842973878,-266.556045198425,0
seq17714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-327.20299903185753,-318.85331682990306,-329.1915252584517,-318.6839347927454,-306.49343832636833,-313.62308072810566,-314.24841469358125,-326.65992205127367,0
seq17715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-211.00729084311152,-207.79402618280056,-240.7753073854983,-245.03040998494615,-226.90946318620158,-208.10581544481585,-240.29077296232472,-205.2809235288831,0
seq17716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278.7201973162191,-273.0394143182991,-292.36427802476703,-280.2259633666616,-264.81464236163015,-273.85211150644943,-267.0584670701092,-278.8589271228598,0
seq17717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270.3503257049662,-259.0703384967302,-285.32630387528735,-248.40490018895707,-251.68006927189634,-256.4167726742825,-251.3571897232394,-270.0273810860206,0
seq17718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282.42959408429977,-274.5448129687815,-285.6532196589374,-288.0038532868068,-269.05969327065293,-282.2085583536747,-280.4358849563042,-287.7475547381471,0
