DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq14401,-261.8743907516852,-258.0254559972381,-263.2927482883093,-250.5517445127012,-260.6898137279669,-273.0187688520891,-258.7834659601076,-259.03329438424254,-254.97641393056176,-241.19803282231658,-276.0443046573395,-261.8428537099235,-245.30247218109272,-268.8828389391436,-268.4277286069125,-237.5966668986771,0,-201.65402553660982,-247.2381519590712,-252.76172603410555,-244.40642898443045,-243.15643214534282,-248.2327613362374,-249.22155850761072,0,-265.75299503823754,0,0,0,-256.9608554598942,0,0,-239.9083155045871
seq14402,-241.5715625303233,-250.35652118123684,-233.39376198374626,-233.97237927221224,-237.8556917302643,-232.53353282536926,-239.27940265377455,-230.3119730779619,-260.1988187811158,-250.68350445994417,-265.42987672212814,-269.36698277583093,-291.75983650600966,-255.77983253408632,-244.34169753708838,-272.41004579800375,0,-285.7587188681479,-245.88580539039955,-229.32440374342252,-243.79863480839106,-247.79625910786072,-241.1434496997297,-237.80827318961857,0,-312.54641425693796,0,0,0,-307.64407283245066,0,0,-240.8989835504454
seq14403,-238.2959109984732,-247.85223767400754,-240.39489896849489,-248.19239841327524,-230.88330627979497,-249.06595149145951,-236.0546752908777,-234.07026380902204,-257.3482663458826,-258.58844536812586,-260.9916392464299,-262.75500754410757,-275.66312670118907,-258.88968091290224,-238.12906742127336,-287.04979973565383,0,-284.9653640235854,-257.03923386804223,-238.99899649273158,-242.63147559278238,-258.866098933027,-251.54875274060646,-242.39155714806708,0,-300.9264355012035,0,0,0,-307.5877921913527,0,0,-252.59891362904105
seq14404,-251.0617924046652,-274.11601391596884,-242.47873959946065,-266.63573332624986,-271.86004931509405,-262.57165253054916,-252.92766351305792,-258.3387137979376,-272.29247855102693,-270.6122965703629,-289.91613374290256,-282.1410443705814,-304.36271438239794,-279.27303373546937,-247.93048001119473,-304.1747808614644,0,-299.7297122805553,-275.2908775172137,-262.4810949274992,-258.5704850889847,-277.04175648503974,-273.0783287125052,-264.70819743095973,0,-315.44479372421887,0,0,0,-328.45168199456907,0,0,-270.5293014511516
seq14405,-257.01646678232066,-253.3991172312902,-261.7743459323686,-251.28305872265094,-261.1136005627102,-267.05734371412285,-253.1713274467469,-258.6461629557981,-254.96951511462382,-244.27229022188033,-265.2011979468718,-275.65431477211786,-285.2620770136628,-253.55116993494943,-265.43653639813465,-274.23547720970816,0,-257.4319531073534,-249.56186023094867,-251.62272316019738,-250.08871628645758,-263.3236383437104,-248.61501737023028,-244.27029272527977,0,-246.68861070243838,0,0,0,-267.6398136890012,0,0,-244.49655350258652
seq14406,-235.07903346798832,-239.11845286054066,-235.48846455640253,-231.6590911483353,-218.18538172323375,-250.00056780647307,-237.40318114436107,-238.3013468498331,-251.2525405837428,-238.03193728663368,-241.3528770953769,-256.28054424605216,-283.31200739792723,-235.92423997306463,-221.78994829804935,-264.25725457397306,0,-271.1944386939813,-241.86455744487986,-225.8310407866177,-238.04856709925645,-243.12314330218732,-236.69174130880805,-232.32921133992633,0,-294.6308593481871,0,0,0,-296.5617473986369,0,0,-234.48285911035398
seq14407,-264.9889148628705,-256.1582062911519,-266.4316451253416,-248.68307416980255,-257.2269563895968,-277.8195833736514,-256.79777706586543,-257.3026895796383,-263.680298244489,-244.3998028431545,-277.5687076490098,-267.8415067883774,-254.17373597401019,-257.3082097626775,-266.5818200195191,-250.93286987928536,0,-225.50806708540512,-246.54448985320178,-250.42111271458978,-248.99192951452025,-245.25277296927194,-257.0545752513137,-250.07492803106598,0,-260.56837699976234,0,0,0,-231.95937086571413,0,0,-236.21947172052154
seq14408,-247.3971114049474,-271.57166295892995,-242.12804890119747,-266.35911886227035,-247.12242616843398,-243.9857584043784,-251.56435268199203,-247.84977678438426,-253.5826035518699,-278.07309014679623,-268.6110312361363,-263.4595259260005,-295.2488241500085,-283.4331669856094,-271.7950560889598,-306.7472416987097,0,-310.1536154404021,-274.00514331430384,-240.4527931414222,-266.02155530007377,-270.9739949606879,-273.67672018963265,-262.56369285488375,0,-328.7410974202453,0,0,0,-334.2943055268929,0,0,-267.78124571914077
seq14409,-226.1648042028889,-224.07736421937344,-230.7649526274964,-216.76796580817685,-232.05824153287793,-237.32483174650093,-223.48676179514678,-221.01084382117608,-233.18872844854542,-208.77545327239343,-240.24877737904262,-248.1204421420808,-260.37050456430114,-227.9562109537365,-236.85450417779148,-253.82684159601862,0,-252.66962679450887,-224.3538358892534,-226.17243952475232,-222.95187716156929,-232.66322168550076,-218.9261883186737,-207.17564176007772,0,-278.5983118394254,0,0,0,-274.2558212960743,0,0,-222.7723231244317
seq14410,-356.142171614156,-361.95946463222253,-354.7023452506687,-357.2181977810944,-364.2103869078627,-347.3899109727642,-348.41692322256637,-358.30885880944385,-358.03344204834804,-356.0142445947568,-379.9274657489198,-363.8053038457464,-372.4593081082645,-356.6046080787576,-360.82837253813193,-369.8759990544086,0,-374.6863723964784,-354.7850117489005,-358.572963357425,-355.7752229164492,-358.1741769894,-351.3638312031168,-353.5815599545482,0,-381.6151287106291,0,0,0,-377.13394521568455,0,0,-349.031788965201
