DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq31201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.1423688053497,-262.44450044352453,-280.15093306511926,-252.22651730841076,-258.4724293159068,-263.5239156182477,-260.8500618656018,-272.24231524035775,0
seq31202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-213.31779082139485,-211.4992909494415,-243.5026658991787,-243.2024867339055,-230.1657842164021,-207.90711594091644,-238.2753200730141,-214.80152259090838,0
seq31203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-260.2458830526903,-253.45844793059482,-266.32653247518823,-267.19300821244224,-252.5278507953636,-247.32973457564833,-259.95516310117995,-258.7390088884201,0
seq31204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-296.89749539728547,-287.70853872484895,-298.97846747705586,-290.03958180058817,-276.0893512260813,-285.19864812025406,-286.77758933838027,-298.0609163811764,0
seq31205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-296.66916262990304,-290.43458352425995,-304.35285631230596,-295.7681819080297,-283.62031499360586,-285.53057337959365,-289.3603824759738,-292.5877847657313,0
seq31206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-280.10621408706623,-272.00028263031953,-283.92053898714306,-278.06357369852867,-269.29147856900477,-268.14009061496375,-271.03134705670504,-276.41080382287555,0
seq31207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-308.28305267750306,-304.52987909609845,-305.1679323850726,-303.31450621154283,-292.21861824088785,-299.1643357600496,-298.69981878051306,-311.88279604172317,0
seq31208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-318.3843304566531,-313.6823606816595,-328.77066166175007,-322.46207217215857,-307.0729651972659,-314.6264431150183,-316.22275086222936,-320.3090894267193,0
seq31209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-294.6291775135247,-280.80414937824884,-300.71966467999806,-267.84070525575345,-274.1382286842366,-280.2477903117485,-271.84471471175954,-293.906836202076,0
seq31210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-334.33285719492153,-332.4370505171375,-324.7065458695036,-332.42114462823935,-321.3558795195827,-330.18183010933944,-324.7629643192125,-334.6590903394333,0
seq31211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-341.7105479857067,-337.8600110778853,-340.1987680979887,-337.8182325849205,-325.46610200874403,-337.23324353472475,-329.5425923804607,-343.13419868281807,0
seq31212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-341.42712999903864,-334.231974088262,-341.2940911283492,-339.3950323299882,-324.2815091956804,-333.4282650238394,-333.37822473339685,-341.1506286880393,0
seq31213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-318.180707491455,-315.6283194645955,-324.90308986203013,-317.05191395811767,-305.6834450542978,-310.3781895454866,-314.09290143791554,-322.6815871341839,0
seq31214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-303.04598780301274,-294.07666005153243,-311.12910232600956,-301.92993757651976,-285.139298421538,-292.1517464105366,-297.885421935473,-298.7884255993397,0
seq31215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307.87058343223634,-306.52070163046454,-306.4311637057946,-311.59943348750267,-298.2760191285129,-308.6675798186101,-300.7571975298094,-312.4060069984036,0
