DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq21001,-235.6658539066213,0,-271.944890768052,0,0,0,-236.3975786704497,-249.46642493942682,-235.49710828407237,-244.88014803695822,-240.88638516283157,-249.29454693907024,-244.34377980710497,-269.6530827326477,-268.82844795472647,-236.3439725636861,-218.47096419425833,0,-248.4478893733748,-239.09801268079678,0,0,-255.01198688346673,-271.1851460458289,0,0,0,0,0,0,0,0,0
seq21002,-244.4552384649366,0,-273.9765029020146,0,0,0,-251.64404142409612,-268.84505369314627,-253.52377117724558,-257.0862702792386,-237.26754881003507,-287.7951981417378,-252.91693706716137,-263.5039520066407,-281.4275333029019,-278.394053143695,-279.57249680930835,0,-247.5844964639972,-250.84861727935112,0,0,-265.5037398760769,-266.7033055497355,0,0,0,0,0,0,0,0,0
seq21003,-236.78657664475293,0,-267.22262492517393,0,0,0,-244.08629057323455,-259.1757790932349,-231.055922800237,-238.69878713068363,-235.03155855502408,-258.98875976115073,-242.5742021706592,-248.08503840935697,-267.4265962363037,-269.7096460548141,-247.3191412476292,0,-227.30901366862733,-236.55434162089662,0,0,-231.23295024081145,-259.33920558758945,0,0,0,0,0,0,0,0,0
seq21004,-242.48607679747343,0,-280.43578391300395,0,0,0,-260.64797434304785,-277.0357343252793,-219.21367599010375,-293.7211495052245,-268.3935143143619,-272.30095760843625,-239.25471024588163,-296.98910877290507,-262.52214393496,-315.3087580922911,-265.4991977507679,0,-291.8350425030508,-252.67386289423314,0,0,-297.6685025344828,-298.45044897909713,0,0,0,0,0,0,0,0,0
seq21005,-251.19683436278518,0,-275.5954347098051,0,0,0,-261.2238371873035,-269.39102060646934,-247.5353266157311,-288.8946990127192,-265.8760557762538,-285.6890541882754,-247.42077524568998,-301.1587249128153,-279.07713550238196,-314.46657978522575,-276.80573340294745,0,-282.9530502528506,-236.5059523503076,0,0,-296.50645319003075,-271.02120478695184,0,0,0,0,0,0,0,0,0
seq21006,-229.59715097922933,0,-276.2659792549495,0,0,0,-245.50792538992104,-266.68651283833645,-228.15084533854213,-264.10959849458703,-248.04899479108505,-263.3206763423435,-230.03384692109117,-265.80215018039826,-271.51511998716626,-279.89793793511814,-259.7053544466309,0,-251.3271522127461,-233.8730824168914,0,0,-263.2274395840019,-273.90396894654134,0,0,0,0,0,0,0,0,0
seq21007,-262.1570396984574,0,-267.39827283934784,0,0,0,-259.40771953487166,-278.98982489188256,-267.10991664153846,-292.83548380909684,-272.3456234018315,-287.44776653801773,-262.4331801702653,-289.75193360012776,-288.2413657977969,-326.02516097511045,-292.7530492326011,0,-281.00762930264415,-267.21342250192055,0,0,-308.3614693063927,-311.0856558356058,0,0,0,0,0,0,0,0,0
seq21008,-241.9904238345304,0,-249.36524107879046,0,0,0,-247.69403208387502,-249.11690657192275,-232.9395716119272,-260.83312655473605,-256.36992217929037,-258.74962953521964,-233.41042294431628,-270.21459730559724,-276.33688550366224,-286.1092989599509,-260.8612650357455,0,-243.2531107745529,-233.07490185860775,0,0,-266.3778424611638,-269.82699176409864,0,0,0,0,0,0,0,0,0
seq21009,-241.49639427614756,0,-269.197956236866,0,0,0,-239.51573370955037,-246.25101742974545,-237.62965217917855,-234.5303707741179,-237.87176148836613,-258.6313242866745,-239.61282269489166,-252.94620819765555,-261.61017682866554,-271.14079031607696,-254.46871513508535,0,-227.7808576375297,-237.09053024248055,0,0,-244.57848237786632,-241.82079949649167,0,0,0,0,0,0,0,0,0
seq21010,-238.2319239713146,0,-268.09857284855286,0,0,0,-229.46565651628862,-260.28675314251996,-254.80845632335593,-252.31117059878542,-230.24249014583737,-283.12655612149314,-247.35867411554565,-249.66428237956737,-269.59524815284163,-280.33464427495176,-274.75692245867015,0,-244.75424056367498,-242.28306860105906,0,0,-277.44277417587637,-253.50103660003788,0,0,0,0,0,0,0,0,0
seq21011,-242.40032262522485,0,-282.4432941063996,0,0,0,-247.92744811492025,-257.9798923794738,-240.86195637619994,-260.31102952737325,-258.05406409954463,-274.2621837600726,-254.26076397838062,-280.09275472213824,-285.7022361017796,-251.90473718146794,-225.18087156099352,0,-265.75930220263405,-259.07887109156775,0,0,-283.21395873350275,-281.851846974543,0,0,0,0,0,0,0,0,0
