DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
seq1201,-246.490495119247,0,-298.98756472981046,0,0,0,-266.08916961094934,-284.1939740072862,-258.34921431690697,-291.49666170975235,-272.7647489933964,-282.89539015779786,-258.2595124489126,-300.13161643382705,-281.2277556586171,-328.06945018949546,-290.8968558037262,0,-288.32498274731813,-254.58094170799816,0,0,-310.4029401050082,-290.84668901861124,0,0,0,0,0,0,0,0,0
seq1202,-253.85989907244746,0,-280.8474398786672,0,0,0,-247.45468815091527,-245.66284321284996,-253.07249207641385,-221.96676428036733,-254.68505219742138,-263.45923958314506,-258.3035124088053,-239.06520628864254,-278.6763656418943,-239.50980120672887,-238.7252454293318,0,-231.6701246316528,-257.83701997364136,0,0,-255.67051097580477,-259.0219704443859,0,0,0,0,0,0,0,0,0
seq1203,-247.29947439366873,0,-274.09218559964836,0,0,0,-248.73052435484513,-273.0899440154007,-266.21712847020206,-278.50708458154327,-235.14726986921244,-283.12687409279863,-257.9312152977816,-271.8671624752724,-272.3705679219262,-300.7961371826199,-269.99082433783934,0,-261.46684538017837,-244.19462049011628,0,0,-293.74485834075284,-282.8307715143745,0,0,0,0,0,0,0,0,0
seq1204,-236.13356045183667,0,-266.33684355070676,0,0,0,-245.30323067533337,-260.3863857144644,-238.92782007781673,-242.39449430042725,-240.35992518105778,-264.6035172518258,-243.52947505571703,-253.6484931639242,-256.13444071705266,-286.194300159632,-264.12910653105104,0,-245.87875299131517,-236.47938929558566,0,0,-256.2674187442832,-251.21023547628988,0,0,0,0,0,0,0,0,0
seq1205,-259.2122665864569,0,-281.21710066884475,0,0,0,-267.1300596184541,-271.1939816193041,-258.4393717260722,-254.8223310818135,-253.47602047855503,-285.6014696022066,-266.88118502584007,-272.2021592707496,-278.0482862117381,-287.21798155996254,-280.12891714889474,0,-253.93256265408763,-255.47643287624047,0,0,-250.53604333454052,-258.01499307431965,0,0,0,0,0,0,0,0,0
seq1206,-234.58484806836486,0,-263.00785661535,0,0,0,-239.26915365374447,-244.63965191627423,-230.4584008257959,-237.50935234123668,-235.5673168211374,-258.5105852909315,-236.83676788482344,-255.0425512263229,-257.98552301918863,-261.07557316173165,-255.2411851094518,0,-237.97109803582165,-226.92326123262467,0,0,-243.54894939299683,-237.79303324501504,0,0,0,0,0,0,0,0,0
seq1207,-266.3879205836468,0,-262.1814265053623,0,0,0,-273.2157047801603,-277.8577238374915,-270.3837942134377,-283.0458649111282,-256.61379593679914,-288.91789212479426,-262.745614362458,-296.7571221607531,-274.3413733705423,-316.44791953270897,-289.53251470525663,0,-282.08919890977546,-250.1343029225252,0,0,-296.5860894868265,-274.72908743593763,0,0,0,0,0,0,0,0,0
seq1208,-234.47698741571844,0,-266.9766231604021,0,0,0,-238.00725506310494,-242.71186609568895,-233.04336324978556,-239.86353546810926,-236.39751705734474,-250.49332647882986,-227.5795828001647,-254.16375214026334,-255.28848456914213,-276.88614817258053,-255.5206314959839,0,-236.29491551029068,-235.41441064449745,0,0,-243.71580112282135,-244.46230000966682,0,0,0,0,0,0,0,0,0
seq1209,-237.3741177081602,0,-266.9686948221534,0,0,0,-237.92829552698748,-254.0671191464753,-237.01949867986608,-232.39700285845223,-235.28929113457176,-250.49534788760448,-236.85753380147986,-264.05402107486873,-266.5710468937223,-266.4452505996703,-257.7285949190604,0,-237.8417064671187,-227.25898813147347,0,0,-243.65954360150536,-248.15527881627904,0,0,0,0,0,0,0,0,0
seq1210,-251.42953509609205,0,-269.1565556266492,0,0,0,-264.0143836651427,-267.06068865264723,-251.5165484577042,-230.14925492049508,-248.34875611173928,-283.4431819616758,-255.51697103706772,-259.7427289627115,-278.1840369338147,-286.372446529662,-267.37731732316075,0,-251.02637036751983,-249.49161157188394,0,0,-265.9475842159284,-266.53117600636716,0,0,0,0,0,0,0,0,0
seq1211,-243.20607118762115,0,-288.3213277663434,0,0,0,-261.7735002728052,-279.9033278860705,-248.63396147882753,-285.1345635590549,-276.4416881571393,-272.56714458479564,-245.01071997265603,-292.5052909868844,-300.16659949385894,-306.3733343350389,-276.1998983487915,0,-275.0300008830318,-257.2629376834842,0,0,-294.00032827631435,-285.1845229007704,0,0,0,0,0,0,0,0,0
