name,A,B,C
PF3D7_0100300,1,0,0
PF3D7_0400400,1,0,0
PF3D7_0425800,1,0,0
PF3D7_0600400,1,0,0
PF3D7_0800200,1,0,0
PF3D7_0937600,1,0,0
PF3D7_1100200,1,0,0
PF3D7_1150400,1,0,0
PF3D7_1300300,1,0,0
Pf7G8_010005600,1,0,0
Pf7G8_020026900,1,0,0
Pf7G8_030005900,1,0,0
Pf7G8_050005500,1,0,0
Pf7G8_050038200,1,0,0
PfCD01_050039400,1,0,0
PfCD01_070035600,1,0,0
PfCD01_080005400,1,0,0
PfCD01_090005800,1,0,0
PfCD01_090042900,1,0,0
PfCD01_130078400,1,0,0
PfDd2_010005500,1,0,0
PfDd2_010019400,1,0,0
PfDd2_040005100,1,0,0
PfDd2_070005500,1,0,0
PfDd2_070016400,1,0,0
PfDd2_070035700,1,0,0
PfDd2_090006100,1,0,0
PfDd2_100045900,1,0,0
PfDd2_110053300,1,0,0
PfDd2_130078700,1,0,0
PfGA01_010005600,1,0,0
PfGA01_030032000,1,0,0
PfGA01_040005800,1,0,0
PfGA01_050037300,1,0,0
PfGA01_090005500,1,0,0
PfGA01_100045300,1,0,0
PfGA01_120060600,1,0,0
PfGB4_000006700,1,0,0
PfGB4_000013800,1,0,0
PfGB4_000015900,1,0,0
PfGB4_000018400,1,0,0
PfGB4_030006000,1,0,0
PfGB4_030006600,1,0,0
PfGB4_030031000,1,0,0
PfGB4_040005800,1,0,0
PfGB4_040006200,1,0,0
PfGB4_040031300,1,0,0
PfGB4_050005400,1,0,0
PfGB4_070006000,1,0,0
PfGB4_070018100,1,0,0
PfGB4_070037400,1,0,0
PfGB4_090005700,1,0,0
PfGB4_100004900,1,0,0
PfGB4_110006800,1,0,0
PfGN01_000022200,1,0,0
PfGN01_010019800,1,0,0
PfGN01_050037800,1,0,0
PfGN01_060005900,1,0,0
PfGN01_090005800,1,0,0
PfGN01_090042900,1,0,0
PfGN01_100005800,0,1,0
PfGN01_120061500,1,0,0
PfGN01_130005700,1,0,0
PfGN01_130079200,1,0,0
PfGN01_140004000,1,0,0
PfGN01_140085400,1,0,0
PfHB3_020005900,1,0,0
PfHB3_050005200,1,0,0
PfHB3_070005300,1,0,0
PfHB3_080005100,1,0,0
PfHB3_100044500,1,0,0
PfHB3_120045300,0,1,0
PfHB3_130080100,1,0,0
PfIGH-CR14_KNG74203,1,0,0
PfIGH-CR14_KNG74206,1,0,0
PfIGH-CR14_KNG74264,1,0,0
PfIGH-CR14_KNG74277,1,0,0
PfIGH-CR14_KNG74645,1,0,0
PfIGH-CR14_KNG74863,1,0,0
PfIGH-CR14_KNG74927,1,0,0
PfIGH-CR14_KNG74946,1,0,0
PfIGH-CR14_KNG75236,1,0,0
PfIGH-CR14_KNG75243,1,0,0
PfIGH-CR14_KNG75311,1,0,0
PfIGH-CR14_KNG75495,1,0,0
PfIGH-CR14_KNG75833,1,0,0
PfIT_030029700,1,0,0
PfIT_060036700,1,0,0
PfIT_070005900,1,0,0
PfIT_070017100,1,0,0
PfIT_090005100,1,0,0
PfIT_100044000,1,0,0
PfIT_120060300,1,0,0
PfIT_130005300,1,0,0
PfIT_140006400,1,0,0
PfKE01_010005000,1,0,0
PfKE01_030005200,1,0,0
PfKE01_070035100,1,0,0
PfKE01_080005600,1,0,0
PfKE01_080037600,1,0,0
PfKH01_000005050,1,0,0
PfKH01_010021400,1,0,0
PfKH01_020028200,1,0,0
PfKH01_030030400,1,0,0
PfKH01_040005800,1,0,0
PfKH01_050005500,1,0,0
PfKH01_100044700,1,0,0
PfKH01_110005100,1,0,0
PfKH01_130076800,0,1,0
PfKH02_010004900,1,0,0
PfKH02_030006200,1,0,0
PfKH02_030030250,1,0,0
PfKH02_060005800,1,0,0
PfKH02_060039000,1,0,0
PfKH02_090042700,1,0,0
PfKH02_110054900,1,0,0
PfKH02_120059400,1,0,0
PfRAJ116_KNC35019,1,0,0
PfRAJ116_KNC35020,1,0,0
PfRAJ116_KNC35022,1,0,0
PfRAJ116_KNC35044,1,0,0
PfRAJ116_KNC35079,1,0,0
PfRAJ116_KNC35097,1,0,0
PfRAJ116_KNC35138,1,0,0
PfRAJ116_KNC35192,1,0,0
PfRAJ116_KNC35324,1,0,0
PfRAJ116_KNC36089,1,0,0
PfSD01_010005200,1,0,0
PfSD01_020005700,1,0,0
PfSD01_070015800,1,0,0
PfSD01_070016400,1,0,0
PfSD01_070060500,1,0,0
PfSD01_080005400,1,0,0
PfSD01_100044400,1,0,0
PfSN01_000005400,1,0,0
PfSN01_000020900,1,0,0
